timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578178700.504,5.859,0.977,22.949,52.246,10.254,0
1578178700.508,28.320,0.488,2.930,62.988,27.832,0
1578178700.512,19.043,1.465,-13.672,56.641,58.105,0
1578178700.529,-17.578,10.254,7.812,62.500,20.508,0
1578178700.533,-24.902,17.090,13.184,58.594,-6.836,0
1578178700.537,-5.371,11.719,-20.996,39.062,4.883,0
1578178700.541,38.086,24.902,-22.461,53.711,5.371,0
1578178700.545,41.016,26.855,-3.906,51.758,26.367,0
1578178700.549,-7.324,21.973,-6.836,49.316,30.273,0
1578178700.553,-7.324,25.391,-20.508,59.082,37.598,0
1578178700.556,16.113,2.441,-27.344,51.270,58.594,0
1578178700.560,-9.277,0.977,-6.348,44.434,-3.418,0
1578178700.564,-20.508,12.695,1.953,47.852,-19.531,0
1578178700.568,11.719,18.555,-1.465,46.875,34.668,0
1578178700.572,20.508,28.809,0.977,47.363,33.203,0
1578178700.559,13.184,29.297,7.324,45.898,36.621,0
1578178700.563,4.883,16.113,12.695,39.062,44.922,0
1578178700.567,11.719,14.648,13.184,44.922,93.750,0
1578178700.571,26.855,19.531,15.137,53.223,89.355,0
1578178700.575,16.113,18.555,23.438,56.641,12.695,0
1578178700.579,4.883,8.301,14.160,54.199,41.504,0
1578178700.583,-7.812,4.883,16.602,61.523,81.055,0
1578178700.586,7.324,9.766,23.438,57.129,34.668,0
1578178700.590,28.320,16.113,23.438,35.645,40.527,0
1578178700.594,-0.488,21.973,16.113,47.363,74.707,0
1578178700.598,-3.418,17.578,-2.441,57.617,78.613,0
1578178700.602,15.625,19.043,9.277,49.805,70.312,0
1578178700.604,28.320,22.461,15.137,52.734,47.852,0
1578178700.608,27.344,9.277,0.488,49.805,20.996,0
1578178700.612,-11.719,4.395,6.348,43.945,21.973,0
1578178700.616,-17.090,15.137,14.160,44.434,-20.020,0
1578178700.620,13.672,16.602,7.324,49.805,21.973,0
1578178700.624,18.066,12.207,-22.949,56.641,51.758,0
1578178700.628,-3.418,9.277,-30.273,61.523,21.973,0
