timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578177453.048,-12.695,9.277,42.480,41.992,-15.137,0
1578177453.052,-10.254,9.277,14.160,40.527,-27.344,0
1578177453.054,6.836,14.648,0.488,44.922,-16.602,0
1578177453.058,9.277,25.879,18.066,49.805,-26.855,0
1578177453.062,8.301,23.926,41.504,61.523,-20.996,0
1578177453.066,20.020,18.066,36.133,64.941,-1.953,0
1578177453.070,20.996,15.625,18.066,55.176,41.016,0
1578177453.074,7.812,9.277,-2.441,46.875,20.996,0
1578177453.078,9.277,6.836,14.160,53.223,17.578,0
1578177453.081,25.879,11.230,27.344,74.219,-18.555,0
1578177453.085,19.043,6.348,4.883,65.918,-32.715,0
1578177453.089,22.949,7.812,23.438,48.828,10.742,0
1578177453.093,32.227,20.020,28.809,60.547,-27.832,0
1578177453.097,7.324,24.414,23.438,58.594,-13.184,0
1578177453.099,-9.766,15.137,20.020,49.805,23.926,0
1578177453.103,-1.953,9.277,8.301,50.781,-9.277,0
1578177453.107,10.254,25.879,15.137,56.641,-34.180,0
1578177453.111,12.695,33.691,31.738,59.082,27.344,0
1578177453.115,17.090,25.391,37.598,62.500,69.336,0
1578177453.119,20.020,18.066,26.855,70.801,49.316,0
1578177453.123,20.020,16.113,24.902,66.895,104.492,0
1578177453.126,7.324,22.461,9.277,42.480,97.656,0
1578177453.130,1.465,14.160,18.066,40.039,88.867,0
1578177453.134,14.648,-3.906,24.902,45.898,86.426,0
1578177453.138,18.066,13.672,1.953,41.016,31.250,0
1578177453.142,6.348,23.926,17.090,52.734,-0.488,0
1578177453.144,3.418,26.855,46.387,59.570,45.410,0
1578177453.148,18.066,41.504,36.621,62.500,57.617,0
1578177453.152,27.832,37.109,12.207,64.941,21.484,0
1578177453.156,31.738,34.180,29.785,60.547,53.223,0
1578177453.160,19.531,21.484,40.527,56.152,55.664,0
1578177453.164,6.836,7.324,15.625,46.875,34.180,0
1578177453.168,8.789,-1.953,-5.371,42.969,69.824,0
1578177453.171,3.418,4.883,-2.930,37.109,48.340,0
1578177453.175,-5.371,22.461,33.203,34.668,58.105,0
1578177453.179,-2.930,23.438,41.504,44.434,60.547,0
1578177453.183,8.301,28.809,34.668,50.781,58.594,0
1578177453.187,5.859,32.715,34.668,61.035,99.609,0
